DEPARTAME_NOMBRE,MUNICIPIO_COD,MUNICIPIO_NOMBRE,REGION,VIP CON RED,HOG 12 CON RED,INST_PUB,ACC APRO HOG12,FEC CORTE,VALOR INVERSION,TOTAL APROBADOS,FECHA VIGENCIA
BOLIVAR,HATIL,13300,REGION 4,0,83,0,67,12/31/15,"464,881,539,488",67,12/31/15
BOLIVAR,CANTA,13160,REGION 4,0,100,2,49,12/31/15,"571,300,205,154",49,12/31/15
BOLIVAR,MOMPO,13468,REGION 4,0,432,2,137,12/31/15,"2,430,826,363,107",137,12/31/15
BOLIVAR,SANTA,13688,REGION 4,0,172,0,172,12/31/16,"963,368,973,397",172,12/31/16
BOLIVAR,TURBA,13836,REGION 4,0,116,1,1,12/31/15,"655,314,941,206",1,12/31/15
BOLIVAR,CLEME,13222,REGION 4,0,83,1,55,12/31/15,"470,482,521,892",55,12/31/15
BOLIVAR,CICUC,13188,REGION 4,0,71,0,0,12/31/15,"397,669,750,647",0,12/31/15
BOLIVAR,SANTA,13688,REGION 4,0,220,2,157,12/31/15,"1,243,418,093,571",157,12/31/15
BOLIVAR,SAN C,13620,REGION 4,0,37,0,37,12/31/16,"207,236,348,928",37,12/31/16
BOLIVAR,TALAI,13780,REGION 4,0,37,0,37,12/31/16,"207,236,348,928",37,12/31/16
BOLIVAR,CARTA,13001,REGION 4,1197,697,0,697,12/31/16,"10,608,260,672,176",1894,12/31/16
BOLIVAR,MARIA,13442,REGION 4,0,174,0,174,12/31/16,"974,570,938,204",174,12/31/16
BOLIVAR,SIMIT,13744,REGION 4,0,193,2,102,12/31/15,"1,092,191,568,677",102,12/31/15
BOLIVAR,MARIA,13442,REGION 4,0,190,1,103,12/31/15,"1,069,787,639,063",103,12/31/15
BOLIVAR,SAN F,13650,REGION 4,0,33,0,33,12/31/16,"184,832,419,315",33,12/31/16
BOLIVAR,TURBA,13838,REGION 4,0,245,0,245,12/31/16,"1,372,240,688,851",245,12/31/16
BOLIVAR,SAN E,13647,REGION 4,0,42,2,13,12/31/15,"246,443,225,753",13,12/31/15
BOLIVAR,SAN P,13670,REGION 4,0,443,2,186,12/31/15,"2,492,437,169,545",186,12/31/15
BOLIVAR,PINIL,13549,REGION 4,0,25,2,0,12/31/15,"151,226,524,894",0,12/31/15
BOLIVAR,MAHAT,13433,REGION 4,0,53,0,53,12/31/16,"296,852,067,384",53,12/31/16
BOLIVAR,SANTA,13673,REGION 4,0,168,2,108,12/31/15,"952,167,008,590",108,12/31/15
BOLIVAR,CLEME,13222,REGION 4,0,36,0,36,12/31/16,"201,635,366,525",36,12/31/16
BOLIVAR,MAGAN,13430,REGION 4,0,1180,0,357,12/31/15,"6,609,159,236,097",357,12/31/15
BOLIVAR,SAN J,13654,REGION 4,0,426,2,206,12/31/15,"2,397,220,468,686",206,12/31/15
BOLIVAR,ARROY,13062,REGION 4,0,25,2,8,12/31/15,"151,226,524,894",8,12/31/15
BOLIVAR,CALAM,13140,REGION 4,0,141,0,141,12/31/16,"789,738,518,890",141,12/31/16
BOLIVAR,TURBA,13836,REGION 4,0,159,0,159,12/31/16,"890,556,202,152",159,12/31/16
BOLIVAR,CICUC,13188,REGION 4,0,158,0,158,12/31/16,"884,955,219,749",158,12/31/16
BOLIVAR,EL GU,13248,REGION 4,0,5,0,5,12/31/16,"28,004,912,017",5,12/31/16
BOLIVAR,SAN M,13667,REGION 4,0,90,2,0,12/31/15,"515,290,381,119",0,12/31/15
BOLIVAR,TIQUI,13810,REGION 4,0,76,2,0,12/31/15,"436,876,627,471",0,12/31/15
BOLIVAR,MAGAN,13430,REGION 4,0,1614,0,1614,12/31/16,"9,039,985,599,204",1614,12/31/16
BOLIVAR,ZAMBR,13894,REGION 4,0,190,1,141,12/31/15,"1,069,787,639,063",141,12/31/15
BOLIVAR,TIQUI,13810,REGION 4,0,12,0,12,12/31/16,"67,211,788,842",12,12/31/16
BOLIVAR,BARRA,13074,REGION 4,0,109,0,109,12/31/16,"610,507,081,978",109,12/31/16
