DEPARTAME_NOMBRE,MUNICIPIO_COD,MUNICIPIO_NOMBRE,REGION,VIP CON RED,HOG 12 CON RED,INST_PUB,ACC APRO HOG12,FEC CORTE,VALOR INVERSION,TOTAL APROBADOS,FECHA VIGENCIA
BOLIVAR,SANTA,13688,REGION 4,0,172,0,172,12/31/16,"963,368,973,397",172,12/31/16
BOLIVAR,SAN C,13620,REGION 4,0,37,0,37,12/31/16,"207,236,348,928",37,12/31/16
BOLIVAR,TALAI,13780,REGION 4,0,37,0,37,12/31/16,"207,236,348,928",37,12/31/16
BOLIVAR,CARTA,13001,REGION 4,1197,697,0,697,12/31/16,"10,608,260,672,176",1894,12/31/16
BOLIVAR,MARIA,13442,REGION 4,0,174,0,174,12/31/16,"974,570,938,204",174,12/31/16
BOLIVAR,SAN F,13650,REGION 4,0,33,0,33,12/31/16,"184,832,419,315",33,12/31/16
BOLIVAR,TURBA,13838,REGION 4,0,245,0,245,12/31/16,"1,372,240,688,851",245,12/31/16
BOLIVAR,MAHAT,13433,REGION 4,0,53,0,53,12/31/16,"296,852,067,384",53,12/31/16
BOLIVAR,CLEME,13222,REGION 4,0,36,0,36,12/31/16,"201,635,366,525",36,12/31/16
BOLIVAR,CALAM,13140,REGION 4,0,141,0,141,12/31/16,"789,738,518,890",141,12/31/16
BOLIVAR,TURBA,13836,REGION 4,0,159,0,159,12/31/16,"890,556,202,152",159,12/31/16
BOLIVAR,CICUC,13188,REGION 4,0,158,0,158,12/31/16,"884,955,219,749",158,12/31/16
BOLIVAR,EL GU,13248,REGION 4,0,5,0,5,12/31/16,"28,004,912,017",5,12/31/16
BOLIVAR,MAGAN,13430,REGION 4,0,1614,0,1614,12/31/16,"9,039,985,599,204",1614,12/31/16
BOLIVAR,TIQUI,13810,REGION 4,0,12,0,12,12/31/16,"67,211,788,842",12,12/31/16
BOLIVAR,BARRA,13074,REGION 4,0,109,0,109,12/31/16,"610,507,081,978",109,12/31/16
BOLIVAR,SIMIT,13744,REGION 4,0,122,0,122,12/31/16,"683,319,853,224",122,12/31/16
BOLIVAR,SAN J,13657,REGION 4,0,73,0,73,12/31/16,"408,871,715,453",73,12/31/16
BOLIVAR,ARJON,13052,REGION 4,0,353,0,353,12/31/16,"1,977,146,788,426",353,12/31/16
BOLIVAR,ARENA,13042,REGION 4,0,37,0,37,12/31/16,"207,236,348,928",37,12/31/16
BOLIVAR,SANTA,13683,REGION 4,0,156,0,156,12/31/16,"873,753,254,942",156,12/31/16
BOLIVAR,RIO V,13600,REGION 4,0,73,0,73,12/31/16,"408,871,715,453",73,12/31/16
BOLIVAR,SAN J,13654,REGION 4,0,257,0,257,12/31/16,"1,439,452,477,692",257,12/31/16
BOLIVAR,VILLA,13873,REGION 4,0,88,0,88,12/31/16,"492,886,451,506",88,12/31/16
BOLIVAR,ZAMBR,13894,REGION 4,0,42,0,42,12/31/16,"235,241,260,946",42,12/31/16
BOLIVAR,MOMPO,13468,REGION 4,0,600,0,600,12/31/16,"3,360,589,442,083",600,12/31/16
BOLIVAR,SANTA,13673,REGION 4,0,171,0,171,12/31/16,"957,767,990,994",171,12/31/16
BOLIVAR,MARGA,13440,REGION 4,0,64,0,64,12/31/16,"358,462,873,822",64,12/31/16
BOLIVAR,SAN M,13667,REGION 4,0,177,0,177,12/31/16,"991,373,885,415",177,12/31/16
BOLIVAR,SOPLA,13760,REGION 4,0,63,0,63,12/31/16,"352,861,891,419",63,12/31/16
BOLIVAR,PINIL,13549,REGION 4,0,64,0,64,12/31/16,"358,462,873,822",64,12/31/16
BOLIVAR,MORAL,13473,REGION 4,0,122,0,122,12/31/16,"683,319,853,224",122,12/31/16
BOLIVAR,CORDO,13212,REGION 4,0,21,0,21,12/31/16,"117,620,630,473",21,12/31/16
BOLIVAR,REGID,13580,REGION 4,0,24,0,24,12/31/16,"134,423,577,683",24,12/31/16
BOLIVAR,SAN E,13647,REGION 4,0,120,0,120,12/31/16,"672,117,888,417",120,12/31/16
BOLIVAR,SAN P,13670,REGION 4,0,318,0,318,12/31/16,"1,781,112,404,304",318,12/31/16
BOLIVAR,ARROY,13062,REGION 4,0,43,0,43,12/31/16,"240,842,243,349",43,12/31/16
BOLIVAR,SAN J,13655,REGION 4,0,58,0,58,12/31/16,"324,856,979,401",58,12/31/16
BOLIVAR,EL CA,13244,REGION 4,0,769,0,769,12/31/16,"4,307,155,468,270",769,12/31/16
BOLIVAR,CANTA,13160,REGION 4,0,63,0,63,12/31/16,"352,861,891,419",63,12/31/16
BOLIVAR,EL PE,13268,REGION 4,0,3,0,3,12/31/16,"16,802,947,210",3,12/31/16
BOLIVAR,HATIL,13300,REGION 4,0,5,0,5,12/31/16,"28,004,912,017",5,12/31/16
BOLIVAR,ACHI,13006,REGION 4,0,170,0,170,12/31/16,"952,167,008,590",170,12/31/16
BOLIVAR,ALTOS,13030,REGION 4,0,93,0,93,12/31/16,"520,891,363,523",93,12/31/16
QUINDIO,BUENA,63111,REGION 6,0,14,0,14,12/31/16,"49,889,178,203",14,12/31/16
CALDAS,SAMAN,17662,REGION 6,0,124,0,124,12/31/16,"441,875,578,368",124,12/31/16
CALDAS,PENSI,17541,REGION 6,4,241,0,241,12/31/16,"873,060,618,550",245,12/31/16
CALDAS,SAN J,17665,REGION 6,0,6,0,6,12/31/16,"21,381,076,373",6,12/31/16
VALLE DEL CAUCA,CAICE,76122,REGION 6,0,21,0,21,12/31/16,"74,833,767,304",21,12/31/16
CALDAS,VICTO,17867,REGION 6,0,70,0,70,12/31/16,"249,445,891,014",70,12/31/16
VALLE DEL CAUCA,BUENA,76109,REGION 6,0,71,0,71,12/31/16,"253,009,403,743",71,12/31/16
CALDAS,MANIZ,17001,REGION 6,39,212,0,212,12/31/16,"894,441,694,922",251,12/31/16
CALDAS,PACOR,17513,REGION 6,0,362,0,362,12/31/16,"1,289,991,607,816",362,12/31/16
VALLE DEL CAUCA,BUGAL,76113,REGION 6,0,62,0,62,12/31/16,"220,937,789,184",62,12/31/16
RISARALDA,DOSQU,66170,REGION 6,60,69,0,69,12/31/16,"459,693,142,012",129,12/31/16
CALDAS,LA DO,17380,REGION 6,39,482,0,482,12/31/16,"1,856,590,131,692",521,12/31/16
VALLE DEL CAUCA,LA CU,76377,REGION 6,0,122,0,122,12/31/16,"434,748,552,910",122,12/31/16
CALDAS,VITER,17877,REGION 6,25,124,0,124,12/31/16,"530,963,396,587",149,12/31/16
VALLE DEL CAUCA,BOLIV,76100,REGION 6,0,108,0,108,12/31/16,"384,859,374,708",108,12/31/16
VALLE DEL CAUCA,YOTOC,76890,REGION 6,0,149,0,149,12/31/16,"530,963,396,587",149,12/31/16
CALDAS,CHINC,17174,REGION 6,0,1,0,1,12/31/16,"3,563,512,729",1,12/31/16
CHOCO,SAN J,27660,REGION 6,0,37,0,37,12/31/16,"131,849,970,965",37,12/31/16
VALLE DEL CAUCA,GINEB,76306,REGION 6,0,31,0,31,12/31/16,"110,468,894,592",31,12/31/16
CALDAS,NORCA,17495,REGION 6,0,65,0,65,12/31/16,"231,628,327,370",65,12/31/16
